delta,E_quantum,E_lhv
0.0,-1.0,-1.0
0.008726646259971648,-0.9999619230641713,-0.99464
0.017453292519943295,-0.9998476951563913,-0.98899
0.026179938779914945,-0.9996573249755573,-0.98366
0.03490658503988659,-0.9993908270190958,-0.9782
0.04363323129985824,-0.9990482215818578,-0.97282
0.05235987755982989,-0.9986295347545738,-0.96729
0.061086523819801536,-0.9981347984218669,-0.96158
0.06981317007977318,-0.9975640502598242,-0.9559
0.07853981633974483,-0.996917333733128,-0.94978
0.08726646259971647,-0.9961946980917455,-0.94417
0.09599310885968812,-0.9953961983671789,-0.93843
0.10471975511965978,-0.9945218953682733,-0.93248
0.11344640137963143,-0.9935718556765875,-0.92687
0.12217304763960307,-0.992546151641322,-0.9214
0.1308996938995747,-0.9914448613738104,-0.91583
0.13962634015954636,-0.9902680687415704,-0.91022
0.14835298641951802,-0.9890158633619168,-0.90447
0.15707963267948966,-0.9876883405951378,-0.89889
0.16580627893946132,-0.9862856015372314,-0.89332
0.17453292519943295,-0.984807753012208,-0.88778
0.1832595714594046,-0.9832549075639546,-0.88161
0.19198621771937624,-0.981627183447664,-0.87566
0.2007128639793479,-0.9799247046208296,-0.86981
0.20943951023931956,-0.9781476007338057,-0.8645
0.2181661564992912,-0.9762960071199334,-0.85902
0.22689280275926285,-0.9743700647852352,-0.85345
0.23561944901923448,-0.9723699203976766,-0.84801
0.24434609527920614,-0.9702957262759965,-0.84227
0.2530727415391778,-0.9681476403781077,-0.83656
0.2617993877991494,-0.9659258262890683,-0.83107
0.27052603405912107,-0.963630453208623,-0.82555
0.2792526803190927,-0.9612616959383189,-0.82002
0.2879793265790644,-0.958819734868193,-0.81472
0.29670597283903605,-0.9563047559630354,-0.80896
0.30543261909900765,-0.9537169507482269,-0.80367
0.3141592653589793,-0.9510565162951535,-0.79813
0.32288591161895097,-0.9483236552061993,-0.79229
0.33161255787892263,-0.9455185755993168,-0.78709
0.34033920413889424,-0.9426414910921784,-0.78176
0.3490658503988659,-0.9396926207859084,-0.77613
0.35779249665883756,-0.9366721892483976,-0.77071
0.3665191429188092,-0.9335804264972017,-0.76493
0.3752457891787809,-0.9304175679820246,-0.75944
0.3839724354387525,-0.9271838545667874,-0.75407
0.39269908169872414,-0.9238795325112867,-0.7481
0.4014257279586958,-0.9205048534524404,-0.74259
0.41015237421866746,-0.917060074385124,-0.73731
0.4188790204786391,-0.9135454576426009,-0.73185
0.4276056667386107,-0.9099612708765432,-0.72643
0.4363323129985824,-0.9063077870366499,-0.72086
0.44505895925855404,-0.9025852843498606,-0.71515
0.4537856055185257,-0.898794046299167,-0.70959
0.4625122517784973,-0.8949343616020251,-0.70389
0.47123889803846897,-0.8910065241883679,-0.6982
0.4799655442984406,-0.8870108331782217,-0.69267
0.4886921905584123,-0.882947592858927,-0.68717
0.49741883681838395,-0.8788171126619654,-0.68194
0.5061454830783556,-0.8746197071393957,-0.67654
0.5148721293383273,-0.8703556959398997,-0.67073
0.5235987755982988,-0.8660254037844387,-0.66501
0.5323254218582705,-0.8616291604415258,-0.65978
0.5410520681182421,-0.8571673007021123,-0.65406
0.5497787143782138,-0.8526401643540923,-0.64862
0.5585053606381855,-0.848048096156426,-0.64323
0.5672320068981571,-0.8433914458128857,-0.63759
0.5759586531581288,-0.838670567945424,-0.63174
0.5846852994181004,-0.8338858220671682,-0.62637
0.5934119456780721,-0.8290375725550417,-0.62075
0.6021385919380436,-0.8241261886220157,-0.61541
0.6108652381980153,-0.8191520442889918,-0.61045
0.619591884457987,-0.8141155183563192,-0.60502
0.6283185307179586,-0.8090169943749475,-0.59954
0.6370451769779303,-0.8038568606172173,-0.59394
0.6457718232379019,-0.7986355100472928,-0.58837
0.6544984694978736,-0.7933533402912352,-0.58292
0.6632251157578453,-0.7880107536067219,-0.57672
0.6719517620178169,-0.7826081568524139,-0.57104
0.6806784082777885,-0.7771459614569709,-0.56561
0.6894050545377601,-0.77162458338772,-0.55999
0.6981317007977318,-0.766044443118978,-0.55412
0.7068583470577035,-0.7604059656000309,-0.54848
0.7155849933176751,-0.754709580222772,-0.54258
0.7243116395776468,-0.7489557207890021,-0.53681
0.7330382858376184,-0.7431448254773942,-0.53134
0.7417649320975901,-0.7372773368101241,-0.52575
0.7504915783575618,-0.7313537016191705,-0.52012
0.7592182246175333,-0.7253743710122877,-0.51416
0.767944870877505,-0.7193398003386512,-0.50885
0.7766715171374766,-0.7132504491541817,-0.50351
0.7853981633974483,-0.7071067811865476,-0.49824
0.7941248096574199,-0.7009092642998509,-0.49256
0.8028514559173916,-0.6946583704589973,-0.48748
0.8115781021773633,-0.6883545756937539,-0.4818
0.8203047484373349,-0.6819983600624985,-0.47627
0.8290313946973066,-0.6755902076156602,-0.47041
0.8377580409572782,-0.6691306063588582,-0.46512
0.8464846872172498,-0.6626200482157375,-0.45955
0.8552113334772214,-0.6560590289905073,-0.45437
0.8639379797371931,-0.6494480483301837,-0.4487
0.8726646259971648,-0.6427876096865394,-0.44293
0.8813912722571364,-0.636078220277764,-0.43756
0.8901179185171081,-0.6293203910498375,-0.43162
0.8988445647770797,-0.6225146366376195,-0.42605
0.9075712110370514,-0.6156614753256583,-0.42071
0.9162978572970231,-0.6087614290087207,-0.41492
0.9250245035569946,-0.6018150231520484,-0.40935
0.9337511498169663,-0.5948227867513414,-0.40431
0.9424777960769379,-0.5877852522924731,-0.39884
0.9512044423369096,-0.5807029557109398,-0.39333
0.9599310885968813,-0.573576436351046,-0.38774
0.9686577348568529,-0.5664062369248328,-0.38244
0.9773843811168246,-0.5591929034707468,-0.37671
0.9861110273767962,-0.5519369853120581,-0.37103
0.9948376736367679,-0.5446390350150271,-0.36565
1.0035643198967394,-0.5372996083468239,-0.35989
1.0122909661567112,-0.5299192642332049,-0.35418
1.0210176124166828,-0.5224985647159489,-0.34859
1.0297442586766545,-0.5150380749100542,-0.34304
1.038470904936626,-0.5075383629607042,-0.33736
1.0471975511965976,-0.5000000000000001,-0.33191
1.0559241974565694,-0.4924235601034671,-0.32691
1.064650843716541,-0.4848096202463371,-0.32117
1.0733774899765127,-0.4771587602596084,-0.3161
1.0821041362364843,-0.46947156278589086,-0.31105
1.090830782496456,-0.46174861323503386,-0.30554
1.0995574287564276,-0.4539904997395468,-0.29953
1.1082840750163994,-0.4461978131098087,-0.29435
1.117010721276371,-0.43837114678907746,-0.28866
1.1257373675363425,-0.43051109680829525,-0.28325
1.1344640137963142,-0.42261826174069944,-0.27732
1.1431906600562858,-0.41469324265623914,-0.27181
1.1519173063162575,-0.4067366430758002,-0.26643
1.160643952576229,-0.39874906892524625,-0.26072
1.1693705988362009,-0.3907311284892737,-0.25549
1.1780972450961724,-0.38268343236508984,-0.24991
1.1868238913561442,-0.37460659341591196,-0.24449
1.1955505376161157,-0.3665012267242973,-0.23894
1.2042771838760873,-0.3583679495453004,-0.23304
1.213003830136059,-0.35020738125946743,-0.22705
1.2217304763960306,-0.3420201433256688,-0.22145
1.2304571226560024,-0.3338068592337709,-0.21623
1.239183768915974,-0.32556815445715676,-0.21029
1.2479104151759457,-0.3173046564050921,-0.20466
1.2566370614359172,-0.30901699437494745,-0.19856
1.265363707695889,-0.30070579950427306,-0.19302
1.2740903539558606,-0.29237170472273677,-0.18718
1.2828170002158321,-0.28401534470392276,-0.18167
1.2915436464758039,-0.27563735581699916,-0.17593
1.3002702927357754,-0.26723837607825696,-0.17039
1.3089969389957472,-0.25881904510252074,-0.16493
1.3177235852557188,-0.2503800040544415,-0.15916
1.3264502315156905,-0.24192189559966767,-0.1535
1.335176877775662,-0.23344536385590547,-0.14762
1.3439035240356338,-0.22495105434386492,-0.14245
1.3526301702956054,-0.2164396139381029,-0.13714
1.361356816555577,-0.20791169081775945,-0.13168
1.3700834628155487,-0.1993679344171972,-0.12627
1.3788101090755203,-0.19080899537654492,-0.12057
1.387536755335492,-0.18223552549214744,-0.11489
1.3962634015954636,-0.17364817766693041,-0.10946
1.4049900478554354,-0.1650476058606776,-0.10442
1.413716694115407,-0.15643446504023092,-0.09885
1.4224433403753787,-0.14780941112961055,-0.09334
1.4311699866353502,-0.13917310096006547,-0.08775
1.4398966328953218,-0.1305261922200517,-0.08236
1.4486232791552935,-0.12186934340514749,-0.07664
1.457349925415265,-0.11320321376790683,-0.07059
1.4660765716752369,-0.10452846326765346,-0.0651
1.4748032179352084,-0.09584575252022406,-0.05947
1.4835298641951802,-0.08715574274765814,-0.05409
1.4922565104551517,-0.078459095727845,-0.048
1.5009831567151235,-0.06975647374412523,-0.04303
1.509709802975095,-0.06104853953485691,-0.03723
1.5184364492350666,-0.052335956242943966,-0.03152
1.5271630954950384,-0.04361938736533601,-0.02607
1.53588974175501,-0.03489949670250108,-0.0205
1.5446163880149817,-0.02617694830787314,-0.01478
1.5533430342749532,-0.0174524064372836,-0.00906
1.562069680534925,-0.008726535498373897,-0.00374
1.5707963267948966,-6.123233995736766e-17,0.00179
1.5795229730548683,0.008726535498373997,0.00748
1.5882496193148399,0.017452406437283477,0.01286
1.5969762655748114,0.026176948307873017,0.01848
1.6057029118347832,0.034899496702500955,0.02457
1.6144295580947547,0.04361938736533589,0.02999
1.6231562043547265,0.05233595624294384,0.03563
1.631882850614698,0.06104853953485678,0.04133
1.6406094968746698,0.06975647374412533,0.04665
1.6493361431346414,0.07845909572784487,0.0519
1.6580627893946132,0.08715574274765824,0.05697
1.6667894356545847,0.09584575252022395,0.06229
1.6755160819145565,0.10452846326765355,0.06759
1.684242728174528,0.11320321376790671,0.07303
1.6929693744344996,0.12186934340514737,0.07864
1.7016960206944713,0.1305261922200516,0.08417
1.710422666954443,0.13917310096006535,0.08941
1.7191493132144147,0.14780941112961066,0.09512
1.7278759594743862,0.1564344650402308,0.10052
1.736602605734358,0.1650476058606777,0.10603
1.7453292519943295,0.1736481776669303,0.11175
1.7540558982543013,0.18223552549214753,0.11698
1.7627825445142729,0.1908089953765448,0.12249
1.7715091907742444,0.19936793441719705,0.12806
1.7802358370342162,0.20791169081775934,0.13361
1.7889624832941877,0.2164396139381028,0.13866
1.7976891295541595,0.22495105434386503,0.1443
1.806415775814131,0.23344536385590534,0.14937
1.8151424220741028,0.24192189559966779,0.1547
1.8238690683340744,0.2503800040544414,0.16034
1.8325957145940461,0.25881904510252085,0.16611
1.8413223608540177,0.26723837607825685,0.1717
1.8500490071139892,0.27563735581699905,0.17721
1.858775653373961,0.28401534470392265,0.18277
1.8675022996339325,0.29237170472273666,0.18898
1.8762289458939043,0.3007057995042731,0.19455
1.8849555921538759,0.30901699437494734,0.20047
1.8936822384138476,0.3173046564050922,0.20591
1.9024088846738192,0.32556815445715664,0.21159
1.911135530933791,0.333806859233771,0.21739
1.9198621771937625,0.3420201433256687,0.22302
1.928588823453734,0.3502073812594673,0.22861
1.9373154697137058,0.35836794954530027,0.23448
1.9460421159736774,0.3665012267242972,0.23978
1.9547687622336491,0.37460659341591207,0.24527
1.9634954084936207,0.3826834323650897,0.25103
1.9722220547535925,0.3907311284892738,0.25661
1.980948701013564,0.39874906892524614,0.26236
1.9896753472735358,0.40673664307580026,0.26784
1.9984019935335073,0.414693242656239,0.27352
2.007128639793479,0.42261826174069933,0.27905
2.0158552860534504,0.4305110968082949,0.28474
2.0245819323134224,0.4383711467890775,0.29049
2.033308578573394,0.4461978131098088,0.29613
2.0420352248333655,0.45399049973954675,0.30133
2.050761871093337,0.4617486132350338,0.3067
2.059488517353309,0.4694715627858909,0.31231
2.0682151636132806,0.47715876025960846,0.31759
2.076941809873252,0.484809620246337,0.32317
2.0856684561332237,0.492423560103467,0.32841
2.0943951023931953,0.4999999999999998,0.33385
2.1031217486531673,0.5075383629607043,0.33947
2.111848394913139,0.5150380749100543,0.34518
2.1205750411731104,0.5224985647159488,0.3511
2.129301687433082,0.5299192642332048,0.35674
2.138028333693054,0.537299608346824,0.36283
2.1467549799530254,0.5446390350150271,0.36869
2.155481626212997,0.5519369853120581,0.37422
2.1642082724729685,0.5591929034707467,0.37997
2.17293491873294,0.5664062369248326,0.38571
2.181661564992912,0.5735764363510462,0.39137
2.1903882112528836,0.5807029557109398,0.39675
2.199114857512855,0.587785252292473,0.40218
2.2078415037728267,0.5948227867513411,0.40752
2.2165681500327987,0.6018150231520484,0.41358
2.2252947962927703,0.6087614290087207,0.41908
2.234021442552742,0.6156614753256583,0.42455
2.2427480888127134,0.6225146366376194,0.42997
2.251474735072685,0.6293203910498373,0.43562
2.260201381332657,0.6360782202777641,0.44151
2.2689280275926285,0.6427876096865394,0.44723
2.2776546738526,0.6494480483301835,0.45291
2.2863813201125716,0.6560590289905072,0.45817
2.2951079663725436,0.6626200482157376,0.46343
2.303834612632515,0.6691306063588582,0.46922
2.3125612588924866,0.6755902076156602,0.47484
2.321287905152458,0.6819983600624984,0.48047
2.3300145514124297,0.6883545756937538,0.48566
2.3387411976724017,0.6946583704589974,0.4914
2.3474678439323733,0.7009092642998509,0.4967
2.356194490192345,0.7071067811865475,0.50246
2.3649211364523164,0.7132504491541815,0.50793
2.3736477827122884,0.7193398003386513,0.51329
2.38237442897226,0.7253743710122876,0.51928
2.3911010752322315,0.7313537016191705,0.52509
2.399827721492203,0.737277336810124,0.53043
2.4085543677521746,0.7431448254773941,0.53579
2.4172810140121466,0.7489557207890022,0.54144
2.426007660272118,0.754709580222772,0.54704
2.4347343065320897,0.7604059656000309,0.55236
2.443460952792061,0.7660444431189779,0.55797
2.452187599052033,0.77162458338772,0.56349
2.4609142453120048,0.7771459614569709,0.56935
2.4696408915719763,0.7826081568524139,0.57486
2.478367537831948,0.7880107536067219,0.58021
2.4870941840919194,0.793353340291235,0.58559
2.4958208303518914,0.7986355100472929,0.59105
2.504547476611863,0.8038568606172173,0.59596
2.5132741228718345,0.8090169943749473,0.60161
2.522000769131806,0.8141155183563191,0.60712
2.530727415391778,0.8191520442889919,0.61295
2.5394540616517496,0.8241261886220157,0.61862
2.548180707911721,0.8290375725550416,0.62408
2.5569073541716927,0.8338858220671681,0.62971
2.5656340004316642,0.8386705679454239,0.63551
2.5743606466916362,0.8433914458128857,0.64119
2.5830872929516078,0.848048096156426,0.6468
2.5918139392115793,0.8526401643540922,0.65195
2.600540585471551,0.8571673007021122,0.65765
2.609267231731523,0.8616291604415258,0.66332
2.6179938779914944,0.8660254037844387,0.66838
2.626720524251466,0.8703556959398997,0.67412
2.6354471705114375,0.8746197071393957,0.67917
2.644173816771409,0.8788171126619653,0.68475
2.652900463031381,0.882947592858927,0.69013
2.6616271092913526,0.8870108331782217,0.69574
2.670353755551324,0.8910065241883678,0.70115
2.6790804018112957,0.894934361602025,0.70658
2.6878070480712677,0.898794046299167,0.71216
2.6965336943312392,0.9025852843498606,0.71774
2.705260340591211,0.9063077870366499,0.72342
2.7139869868511823,0.9099612708765431,0.7289
2.722713633111154,0.9135454576426008,0.73416
2.731440279371126,0.917060074385124,0.73969
2.7401669256310974,0.9205048534524404,0.74471
2.748893571891069,0.9238795325112867,0.75014
2.7576202181510405,0.9271838545667873,0.75552
2.7663468644110125,0.9304175679820246,0.76119
2.775073510670984,0.9335804264972017,0.76679
2.7838001569309556,0.9366721892483976,0.77236
2.792526803190927,0.9396926207859083,0.77809
2.8012534494508987,0.9426414910921783,0.78381
2.8099800957108707,0.9455185755993168,0.78951
2.8187067419708423,0.9483236552061993,0.79494
2.827433388230814,0.9510565162951535,0.80045
2.8361600344907854,0.9537169507482268,0.8062
2.8448866807507573,0.9563047559630355,0.81126
2.853613327010729,0.958819734868193,0.81693
2.8623399732707004,0.9612616959383189,0.82194
2.871066619530672,0.963630453208623,0.82757
2.8797932657906435,0.9659258262890682,0.83316
2.8885199120506155,0.9681476403781077,0.83894
2.897246558310587,0.9702957262759965,0.8443
2.9059732045705586,0.9723699203976766,0.85019
2.91469985083053,0.9743700647852351,0.85577
2.923426497090502,0.9762960071199334,0.86102
2.9321531433504737,0.9781476007338057,0.86659
2.9408797896104453,0.9799247046208296,0.87197
2.949606435870417,0.981627183447664,0.87762
2.9583330821303884,0.9832549075639545,0.88317
2.9670597283903604,0.984807753012208,0.88856
2.975786374650332,0.9862856015372314,0.89407
2.9845130209103035,0.9876883405951377,0.8998
2.993239667170275,0.9890158633619168,0.90514
3.001966313430247,0.9902680687415704,0.91088
3.0106929596902186,0.9914448613738104,0.91687
3.01941960595019,0.992546151641322,0.92258
3.0281462522101616,0.9935718556765875,0.92813
3.036872898470133,0.9945218953682733,0.9336
3.045599544730105,0.9953961983671789,0.93897
3.0543261909900767,0.9961946980917455,0.94446
3.0630528372500483,0.996917333733128,0.94989
3.07177948351002,0.9975640502598242,0.95509
3.080506129769992,0.998134798421867,0.96046
3.0892327760299634,0.9986295347545738,0.96636
3.097959422289935,0.9990482215818578,0.97167
3.1066860685499065,0.9993908270190958,0.9775
3.115412714809878,0.9996573249755573,0.98323
3.12413936106985,0.9998476951563913,0.98877
3.1328660073298216,0.9999619230641713,0.99422
3.141592653589793,1.0,1.0
